,row,rowId,weekDate,pos,singer,song,lastPos,weekNo,jump
0,1.0,1.0,2014-01-04,1.0,Eminem,The Monster,1.0,1.0,0.0
1,2.0,2.0,2014-01-04,2.0,Pitbull,Timber,2.0,1.0,0.0
2,3.0,3.0,2014-01-04,3.0,OneRepublic,Counting Stars,3.0,1.0,0.0
3,4.0,4.0,2014-01-04,4.0,A Great Big World,Say Something,4.0,1.0,0.0
4,5.0,5.0,2014-01-04,5.0,Lorde,Royals,5.0,1.0,0.0
5,6.0,6.0,2014-01-04,6.0,Imagine Dragons,Demons,6.0,1.0,0.0
6,7.0,7.0,2014-01-04,7.0,Passenger,Let Her Go,9.0,1.0,2.0
7,8.0,8.0,2014-01-04,8.0,Avicii,Wake Me Up!,7.0,1.0,-1.0
8,9.0,9.0,2014-01-04,9.0,Miley Cyrus,Wrecking Ball,8.0,1.0,-1.0
9,10.0,10.0,2014-01-04,10.0,One Direction,Story Of My Life,10.0,1.0,0.0
10,11.0,11.0,2014-01-04,11.0,Katy Perry,Roar,12.0,1.0,1.0
11,12.0,12.0,2014-01-04,12.0,Beyonce,Drunk In Love,110.0,1.0,98.0
12,13.0,13.0,2014-01-04,13.0,Drake,"Hold On, We&#039;re Going Home",11.0,1.0,-2.0
13,14.0,14.0,2014-01-04,14.0,Katy Perry,Dark Horse,22.0,1.0,8.0
14,15.0,15.0,2014-01-04,15.0,Ellie Goulding,Burn,13.0,1.0,-2.0
15,16.0,16.0,2014-01-04,16.0,Lady Gaga,Do What U Want,16.0,1.0,0.0
16,17.0,17.0,2014-01-04,17.0,The Neighbourhood,Sweater Weather,14.0,1.0,-3.0
17,18.0,18.0,2014-01-04,18.0,Lorde,Team,23.0,1.0,5.0
18,19.0,19.0,2014-01-04,19.0,Macklemore,White Walls,15.0,1.0,-4.0
19,20.0,20.0,2014-01-04,20.0,Mike WiLL Made-It,23,18.0,1.0,-2.0
20,21.0,21.0,2014-01-04,21.0,Bastille,Pompeii,24.0,1.0,3.0
21,22.0,22.0,2014-01-04,22.0,Zedd,Stay The Night,19.0,1.0,-3.0
22,23.0,23.0,2014-01-04,23.0,Katy Perry,Unconditionally,17.0,1.0,-6.0
23,24.0,24.0,2014-01-04,24.0,YG,My Hitta,21.0,1.0,-3.0
24,25.0,25.0,2014-01-04,25.0,Lady Gaga,Applause,20.0,1.0,-5.0
25,26.0,26.0,2014-01-04,26.0,Mariah Carey,All I Want For Christmas Is You,27.0,1.0,1.0
26,27.0,27.0,2014-01-04,27.0,Robin Thicke,Blurred Lines,25.0,1.0,-2.0
27,28.0,28.0,2014-01-04,28.0,Jay Z,Holy Grail,28.0,1.0,0.0
28,29.0,29.0,2014-01-04,29.0,Kid Ink,Show Me,39.0,1.0,10.0
29,30.0,30.0,2014-01-04,30.0,Florida Georgia Line,Stay,29.0,1.0,-1.0
30,31.0,31.0,2014-01-04,31.0,Imagine Dragons,Radioactive,30.0,1.0,-1.0
31,32.0,32.0,2014-01-04,32.0,Chris Brown,Love More,31.0,1.0,-1.0
32,33.0,33.0,2014-01-04,33.0,Sage The Gemini,Gas Pedal,44.0,1.0,11.0
33,34.0,34.0,2014-01-04,34.0,Luke Bryan,Drink A Beer,37.0,1.0,3.0
34,35.0,35.0,2014-01-04,35.0,Sara Bareilles,Brave,33.0,1.0,-2.0
35,36.0,36.0,2014-01-04,36.0,Sevyn Streeter,It Won&#039;t Stop,32.0,1.0,-4.0
36,37.0,37.0,2014-01-04,37.0,Drake,All Me,40.0,1.0,3.0
37,38.0,38.0,2014-01-04,38.0,Eminem,Rap God,34.0,1.0,-4.0
38,39.0,39.0,2014-01-04,39.0,AWOLNATION,Sail,38.0,1.0,-1.0
39,40.0,40.0,2014-01-04,40.0,David Nail,Whatever She&#039;s Got,43.0,1.0,3.0
40,41.0,41.0,2014-01-04,41.0,Jason Derulo,Marry Me,26.0,1.0,-15.0
41,42.0,42.0,2014-01-04,42.0,Capital Cities,Safe And Sound,45.0,1.0,3.0
42,43.0,43.0,2014-01-04,43.0,Eli Young Band,Drunk Last Night,42.0,1.0,-1.0
43,44.0,44.0,2014-01-04,44.0,American Authors,Best Day Of My Life,35.0,1.0,-9.0
44,45.0,45.0,2014-01-04,45.0,Nat King Cole,The Christmas Song (Merry Christmas To You),110.0,1.0,65.0
45,46.0,46.0,2014-01-04,46.0,Cassadee Pope,Wasting All These Tears,46.0,1.0,0.0
46,47.0,47.0,2014-01-04,47.0,Parmalee,Carolina,36.0,1.0,-11.0
47,48.0,48.0,2014-01-04,48.0,John Mayer,Who You Love,110.0,1.0,62.0
48,49.0,49.0,2014-01-04,49.0,Zendaya,Replay,69.0,1.0,20.0
49,50.0,50.0,2014-01-04,50.0,Brenda Lee,Rockin&#039; Around The Christmas Tree,110.0,1.0,60.0
50,51.0,51.0,2014-01-04,51.0,Tessanne Chin,I Have Nothing,110.0,1.0,59.0
51,52.0,52.0,2014-01-04,52.0,Zac Brown Band,Sweet Annie,47.0,1.0,-5.0
52,53.0,53.0,2014-01-04,53.0,Cole Swindell,Chillin&#039; It,48.0,1.0,-5.0
53,54.0,54.0,2014-01-04,54.0,Idina Menzel,Let It Go,54.0,1.0,0.0
54,55.0,55.0,2014-01-04,55.0,John Legend,All Of Me,52.0,1.0,-3.0
55,56.0,56.0,2014-01-04,56.0,Luke Bryan,That&#039;s My Kind Of Night,53.0,1.0,-3.0
56,57.0,57.0,2014-01-04,57.0,Jason Aldean,When She Says Baby,60.0,1.0,3.0
57,58.0,58.0,2014-01-04,58.0,Brantley Gilbert,Bottoms Up,110.0,1.0,52.0
58,59.0,59.0,2014-01-04,59.0,Martin Garrix,Animals,56.0,1.0,-3.0
59,60.0,60.0,2014-01-04,60.0,B.o.B,HeadBand,68.0,1.0,8.0
60,61.0,61.0,2014-01-04,61.0,Demi Lovato,Let It Go,58.0,1.0,-3.0
61,62.0,62.0,2014-01-04,62.0,The Band Perry,Don&#039;t Let Me Be Lonely,59.0,1.0,-3.0
62,63.0,63.0,2014-01-04,63.0,Avicii,Hey Brother,66.0,1.0,3.0
63,64.0,64.0,2014-01-04,64.0,Pentatonix,Little Drummer Boy,51.0,1.0,-13.0
64,65.0,65.0,2014-01-04,65.0,Eric Paslay,Friday Night,62.0,1.0,-3.0
65,66.0,66.0,2014-01-04,66.0,Jon Pardi,XO,110.0,1.0,44.0
66,67.0,68.0,2014-01-04,68.0,Drake,The Language,70.0,1.0,2.0
67,68.0,69.0,2014-01-04,69.0,Selena Gomez,Slow Down,50.0,1.0,-19.0
68,69.0,70.0,2014-01-04,70.0,John Newman,Love Me Again,72.0,1.0,2.0
69,70.0,71.0,2014-01-04,71.0,Darius Rucker,Radio,65.0,1.0,-6.0
70,71.0,72.0,2014-01-04,72.0,August Alsina,I Luv This Sh*t,63.0,1.0,-9.0
71,72.0,73.0,2014-01-04,73.0,Keith Urban,We Were Us,57.0,1.0,-16.0
72,73.0,74.0,2014-01-04,74.0,Justin Timberlake,TKO,61.0,1.0,-13.0
73,74.0,75.0,2014-01-04,75.0,Lady Antebellum,Compass,73.0,1.0,-2.0
74,75.0,76.0,2014-01-04,76.0,Tessanne Chin,Let It Be,110.0,1.0,34.0
75,76.0,77.0,2014-01-04,77.0,Eminem,Berzerk,78.0,1.0,1.0
76,77.0,78.0,2014-01-04,78.0,Kelly Clarkson,Underneath The Tree,80.0,1.0,2.0
77,78.0,79.0,2014-01-04,79.0,T-Pain,Up Down (Do This All Day),82.0,1.0,3.0
78,79.0,80.0,2014-01-04,80.0,Joe Nichols,Sunny And 75,67.0,1.0,-13.0
79,80.0,81.0,2014-01-04,81.0,Fall Out Boy,Alone Together,83.0,1.0,2.0
80,81.0,82.0,2014-01-04,82.0,One Direction,Best Song Ever,94.0,1.0,12.0
81,82.0,83.0,2014-01-04,83.0,Arctic Monkeys,Do I Wanna Know?,91.0,1.0,8.0
82,83.0,84.0,2014-01-04,84.0,Frankie Ballard,Helluva Life,88.0,1.0,4.0
83,84.0,85.0,2014-01-04,85.0,Justin Bieber,All That Matters,84.0,1.0,-1.0
84,85.0,86.0,2014-01-04,86.0,Scotty McCreery,See You Tonight,86.0,1.0,0.0
85,86.0,87.0,2014-01-04,87.0,Kanye West,Bound 2,76.0,1.0,-11.0
86,87.0,88.0,2014-01-04,88.0,Future,Honest,81.0,1.0,-7.0
87,88.0,89.0,2014-01-04,89.0,Jason Derulo,Talk Dirty,110.0,1.0,21.0
88,89.0,90.0,2014-01-04,90.0,Britney Spears,Perfume,77.0,1.0,-13.0
89,90.0,91.0,2014-01-04,91.0,Juicy J,Bounce It,90.0,1.0,-1.0
90,91.0,92.0,2014-01-04,92.0,Hunter Hayes,Everybody&#039;s Got Somebody But Me,79.0,1.0,-13.0
91,92.0,93.0,2014-01-04,93.0,Lupe Fiasco,Old School Love,95.0,1.0,2.0
92,93.0,94.0,2014-01-04,94.0,Drake,Worst Behavior,110.0,1.0,16.0
93,94.0,95.0,2014-01-04,95.0,Daughtry,Waiting For Superman,110.0,1.0,15.0
94,95.0,96.0,2014-01-04,96.0,Eminem,Survival,96.0,1.0,0.0
95,96.0,97.0,2014-01-04,97.0,Ty Dolla $ign,Paranoid,110.0,1.0,13.0
96,97.0,98.0,2014-01-04,98.0,Ylvis,The Fox,92.0,1.0,-6.0
97,98.0,99.0,2014-01-04,99.0,Beyonce,Mine,110.0,1.0,11.0
98,99.0,100.0,2014-01-04,100.0,Dierks Bentley,I Hold On,110.0,1.0,10.0
99,100.0,1.0,2014-01-11,1.0,Eminem,The Monster,1.0,2.0,0.0
100,101.0,2.0,2014-01-11,2.0,Pitbull,Timber,2.0,2.0,0.0
101,102.0,3.0,2014-01-11,3.0,OneRepublic,Counting Stars,3.0,2.0,0.0
102,103.0,4.0,2014-01-11,4.0,Lorde,Royals,5.0,2.0,1.0
103,104.0,5.0,2014-01-11,5.0,A Great Big World,Say Something,4.0,2.0,-1.0
104,105.0,6.0,2014-01-11,6.0,Imagine Dragons,Demons,6.0,2.0,0.0
105,106.0,7.0,2014-01-11,7.0,Passenger,Let Her Go,7.0,2.0,0.0
106,107.0,8.0,2014-01-11,8.0,Katy Perry,Roar,11.0,2.0,3.0
107,108.0,9.0,2014-01-11,9.0,One Direction,Story Of My Life,10.0,2.0,1.0
108,109.0,10.0,2014-01-11,10.0,Avicii,Wake Me Up!,8.0,2.0,-2.0
109,110.0,11.0,2014-01-11,11.0,Katy Perry,Dark Horse,14.0,2.0,3.0
110,111.0,12.0,2014-01-11,12.0,Miley Cyrus,Wrecking Ball,9.0,2.0,-3.0
111,112.0,13.0,2014-01-11,13.0,Ellie Goulding,Burn,15.0,2.0,2.0
112,113.0,14.0,2014-01-11,14.0,Mike WiLL Made-It,23,20.0,2.0,6.0
113,114.0,15.0,2014-01-11,15.0,Drake,"Hold On, We&#039;re Going Home",13.0,2.0,-2.0
114,115.0,16.0,2014-01-11,16.0,The Neighbourhood,Sweater Weather,17.0,2.0,1.0
115,116.0,17.0,2014-01-11,17.0,Beyonce,Drunk In Love,12.0,2.0,-5.0
116,117.0,18.0,2014-01-11,18.0,Macklemore,White Walls,19.0,2.0,1.0
117,118.0,19.0,2014-01-11,19.0,Lorde,Team,18.0,2.0,-1.0
118,119.0,20.0,2014-01-11,20.0,Katy Perry,Unconditionally,23.0,2.0,3.0
119,120.0,21.0,2014-01-11,21.0,Bastille,Pompeii,21.0,2.0,0.0
120,121.0,22.0,2014-01-11,22.0,Miley Cyrus,Adore You,110.0,2.0,88.0
121,122.0,23.0,2014-01-11,23.0,Lady Gaga,Do What U Want,16.0,2.0,-7.0
122,123.0,24.0,2014-01-11,24.0,YG,My Hitta,24.0,2.0,0.0
123,124.0,25.0,2014-01-11,25.0,Imagine Dragons,Radioactive,31.0,2.0,6.0
124,125.0,26.0,2014-01-11,26.0,Lady Gaga,Applause,25.0,2.0,-1.0
125,126.0,27.0,2014-01-11,27.0,Zedd,Stay The Night,22.0,2.0,-5.0
126,127.0,28.0,2014-01-11,28.0,Robin Thicke,Blurred Lines,27.0,2.0,-1.0
127,128.0,29.0,2014-01-11,29.0,Jay Z,Holy Grail,28.0,2.0,-1.0
128,129.0,30.0,2014-01-11,30.0,Sage The Gemini,Gas Pedal,33.0,2.0,3.0
129,130.0,31.0,2014-01-11,31.0,Florida Georgia Line,Stay,30.0,2.0,-1.0
130,131.0,32.0,2014-01-11,32.0,Idina Menzel,Let It Go,54.0,2.0,22.0
131,132.0,33.0,2014-01-11,33.0,Eminem,Rap God,38.0,2.0,5.0
132,133.0,34.0,2014-01-11,34.0,Luke Bryan,That&#039;s My Kind Of Night,56.0,2.0,22.0
133,134.0,35.0,2014-01-11,35.0,AWOLNATION,Sail,39.0,2.0,4.0
134,135.0,36.0,2014-01-11,36.0,Sara Bareilles,Brave,35.0,2.0,-1.0
135,136.0,37.0,2014-01-11,37.0,Luke Bryan,Drink A Beer,34.0,2.0,-3.0
136,137.0,38.0,2014-01-11,38.0,DJ Snake,Turn Down For What,110.0,2.0,72.0
137,138.0,39.0,2014-01-11,39.0,Jason Derulo,Marry Me,41.0,2.0,2.0
138,139.0,40.0,2014-01-11,40.0,Zendaya,Replay,49.0,2.0,9.0
139,140.0,41.0,2014-01-11,41.0,Drake,All Me,37.0,2.0,-4.0
140,141.0,42.0,2014-01-11,42.0,Kid Ink,Show Me,29.0,2.0,-13.0
141,142.0,43.0,2014-01-11,43.0,Demi Lovato,Let It Go,61.0,2.0,18.0
142,143.0,44.0,2014-01-11,44.0,Chris Brown,Love More,32.0,2.0,-12.0
143,144.0,45.0,2014-01-11,45.0,Capital Cities,Safe And Sound,42.0,2.0,-3.0
144,145.0,46.0,2014-01-11,46.0,David Nail,Whatever She&#039;s Got,40.0,2.0,-6.0
145,146.0,47.0,2014-01-11,47.0,Cassadee Pope,Wasting All These Tears,46.0,2.0,-1.0
146,147.0,48.0,2014-01-11,48.0,Eminem,Berzerk,77.0,2.0,29.0
147,148.0,49.0,2014-01-11,49.0,Sevyn Streeter,It Won&#039;t Stop,36.0,2.0,-13.0
148,149.0,50.0,2014-01-11,50.0,Parmalee,Carolina,47.0,2.0,-3.0
149,150.0,51.0,2014-01-11,51.0,Cole Swindell,Chillin&#039; It,53.0,2.0,2.0
150,151.0,52.0,2014-01-11,52.0,American Authors,Best Day Of My Life,44.0,2.0,-8.0
151,152.0,53.0,2014-01-11,53.0,B.o.B,HeadBand,60.0,2.0,7.0
152,153.0,54.0,2014-01-11,54.0,One Direction,Best Song Ever,82.0,2.0,28.0
153,154.0,55.0,2014-01-11,55.0,Martin Garrix,Animals,59.0,2.0,4.0
154,155.0,56.0,2014-01-11,56.0,Eli Young Band,Drunk Last Night,43.0,2.0,-13.0
155,156.0,57.0,2014-01-11,57.0,Jason Aldean,When She Says Baby,57.0,2.0,0.0
156,157.0,58.0,2014-01-11,58.0,Ylvis,The Fox,98.0,2.0,40.0
157,158.0,59.0,2014-01-11,59.0,Justin Bieber,All That Matters,85.0,2.0,26.0
158,159.0,60.0,2014-01-11,60.0,Justin Timberlake,TKO,74.0,2.0,14.0
159,160.0,61.0,2014-01-11,61.0,Zac Brown Band,Sweet Annie,52.0,2.0,-9.0
160,161.0,62.0,2014-01-11,62.0,John Newman,Love Me Again,70.0,2.0,8.0
161,162.0,63.0,2014-01-11,63.0,Drake,The Language,68.0,2.0,5.0
162,163.0,64.0,2014-01-11,64.0,Eminem,Survival,96.0,2.0,32.0
163,164.0,65.0,2014-01-11,65.0,Kristen Bell,Do You Want To Build A Snowman?,110.0,2.0,45.0
164,165.0,66.0,2014-01-11,66.0,Avicii,Hey Brother,63.0,2.0,-3.0
165,166.0,67.0,2014-01-11,67.0,Keith Urban,We Were Us,73.0,2.0,6.0
166,167.0,68.0,2014-01-11,68.0,John Legend,All Of Me,55.0,2.0,-13.0
167,168.0,69.0,2014-01-11,69.0,The Band Perry,Don&#039;t Let Me Be Lonely,62.0,2.0,-7.0
168,169.0,70.0,2014-01-11,70.0,Eric Paslay,Friday Night,65.0,2.0,-5.0
169,170.0,71.0,2014-01-11,71.0,Fall Out Boy,Alone Together,81.0,2.0,10.0
170,171.0,72.0,2014-01-11,72.0,Lady Antebellum,Compass,75.0,2.0,3.0
171,172.0,73.0,2014-01-11,73.0,Beyonce,XO,66.0,2.0,-7.0
172,173.0,74.0,2014-01-11,74.0,Kristen Bell,For The First Time In Forever,110.0,2.0,36.0
173,174.0,75.0,2014-01-11,75.0,Darius Rucker,Radio,71.0,2.0,-4.0
174,175.0,76.0,2014-01-11,76.0,August Alsina,I Luv This Sh*t,72.0,2.0,-4.0
175,176.0,77.0,2014-01-11,77.0,Joe Nichols,Sunny And 75,80.0,2.0,3.0
176,177.0,78.0,2014-01-11,78.0,Jon Pardi,Up All Night,67.0,2.0,-11.0
177,178.0,79.0,2014-01-11,79.0,Scotty McCreery,See You Tonight,86.0,2.0,7.0
178,179.0,80.0,2014-01-11,80.0,Brantley Gilbert,Bottoms Up,58.0,2.0,-22.0
179,180.0,81.0,2014-01-11,81.0,Juicy J,Bounce It,91.0,2.0,10.0
180,181.0,82.0,2014-01-11,82.0,Beyonce,Mine,99.0,2.0,17.0
181,182.0,83.0,2014-01-11,83.0,Hunter Hayes,Everybody&#039;s Got Somebody But Me,92.0,2.0,9.0
182,183.0,84.0,2014-01-11,84.0,T-Pain,Up Down (Do This All Day),79.0,2.0,-5.0
183,184.0,85.0,2014-01-11,85.0,Jason Derulo,Talk Dirty,89.0,2.0,4.0
184,185.0,86.0,2014-01-11,86.0,Frankie Ballard,Helluva Life,84.0,2.0,-2.0
185,186.0,87.0,2014-01-11,87.0,Daughtry,Waiting For Superman,95.0,2.0,8.0
186,187.0,88.0,2014-01-11,88.0,Enrique Iglesias,Heart Attack,110.0,2.0,22.0
187,188.0,89.0,2014-01-11,89.0,Bruno Mars,Gorilla,110.0,2.0,21.0
188,189.0,90.0,2014-01-11,90.0,Future,Honest,88.0,2.0,-2.0
189,190.0,91.0,2014-01-11,91.0,Britney Spears,Perfume,90.0,2.0,-1.0
190,191.0,92.0,2014-01-11,92.0,Arctic Monkeys,Do I Wanna Know?,83.0,2.0,-9.0
191,192.0,93.0,2014-01-11,93.0,Danielle Bradbery,The Heart Of Dixie,110.0,2.0,17.0
192,193.0,94.0,2014-01-11,94.0,Dierks Bentley,I Hold On,100.0,2.0,6.0
193,194.0,95.0,2014-01-11,95.0,Drake,Worst Behavior,94.0,2.0,-1.0
194,195.0,96.0,2014-01-11,96.0,Demi Lovato,Neon Lights,110.0,2.0,14.0
195,196.0,97.0,2014-01-11,97.0,Maejor Ali,Lolly,110.0,2.0,13.0
196,197.0,98.0,2014-01-11,98.0,Ty Dolla $ign,Paranoid,97.0,2.0,-1.0
197,198.0,99.0,2014-01-11,99.0,Kanye West,Bound 2,87.0,2.0,-12.0
198,199.0,1.0,2014-01-18,1.0,Pitbull,Timber,2.0,3.0,1.0
199,200.0,2.0,2014-01-18,2.0,OneRepublic,Counting Stars,3.0,3.0,1.0
200,201.0,3.0,2014-01-18,3.0,Eminem,The Monster,1.0,3.0,-2.0
201,202.0,4.0,2014-01-18,4.0,Lorde,Royals,4.0,3.0,0.0
202,203.0,5.0,2014-01-18,5.0,A Great Big World,Say Something,5.0,3.0,0.0
203,204.0,6.0,2014-01-18,6.0,Katy Perry,Dark Horse,11.0,3.0,5.0
204,205.0,7.0,2014-01-18,7.0,Passenger,Let Her Go,7.0,3.0,0.0
205,206.0,8.0,2014-01-18,8.0,Avicii,Wake Me Up!,10.0,3.0,2.0
206,207.0,9.0,2014-01-18,9.0,Miley Cyrus,Wrecking Ball,12.0,3.0,3.0
207,208.0,10.0,2014-01-18,10.0,Imagine Dragons,Demons,6.0,3.0,-4.0
208,209.0,11.0,2014-01-18,11.0,Katy Perry,Roar,8.0,3.0,-3.0
209,210.0,12.0,2014-01-18,12.0,One Direction,Story Of My Life,9.0,3.0,-3.0
210,211.0,13.0,2014-01-18,13.0,Ellie Goulding,Burn,13.0,3.0,0.0
211,212.0,14.0,2014-01-18,14.0,Lorde,Team,19.0,3.0,5.0
212,213.0,15.0,2014-01-18,15.0,Beyonce,Drunk In Love,17.0,3.0,2.0
213,214.0,16.0,2014-01-18,16.0,Drake,"Hold On, We&#039;re Going Home",15.0,3.0,-1.0
214,215.0,17.0,2014-01-18,17.0,Lady Gaga,Do What U Want,23.0,3.0,6.0
215,216.0,18.0,2014-01-18,18.0,Bastille,Pompeii,21.0,3.0,3.0
216,217.0,19.0,2014-01-18,19.0,Robin Thicke,Blurred Lines,28.0,3.0,9.0
217,218.0,20.0,2014-01-18,20.0,The Neighbourhood,Sweater Weather,16.0,3.0,-4.0
218,219.0,21.0,2014-01-18,21.0,Macklemore,White Walls,18.0,3.0,-3.0
219,220.0,22.0,2014-01-18,22.0,Mike WiLL Made-It,23,14.0,3.0,-8.0
220,221.0,23.0,2014-01-18,23.0,Zedd,Stay The Night,27.0,3.0,4.0
221,222.0,24.0,2014-01-18,24.0,Imagine Dragons,Radioactive,25.0,3.0,1.0
222,223.0,25.0,2014-01-18,25.0,YG,My Hitta,24.0,3.0,-1.0
223,224.0,26.0,2014-01-18,26.0,Lady Gaga,Applause,26.0,3.0,0.0
224,225.0,27.0,2014-01-18,27.0,Idina Menzel,Let It Go,32.0,3.0,5.0
225,226.0,28.0,2014-01-18,28.0,Capital Cities,Safe And Sound,45.0,3.0,17.0
226,227.0,29.0,2014-01-18,29.0,Katy Perry,Unconditionally,20.0,3.0,-9.0
227,228.0,30.0,2014-01-18,30.0,Sara Bareilles,Brave,36.0,3.0,6.0
228,229.0,31.0,2014-01-18,31.0,Kid Ink,Show Me,42.0,3.0,11.0
229,230.0,32.0,2014-01-18,32.0,Miley Cyrus,Adore You,22.0,3.0,-10.0
230,231.0,33.0,2014-01-18,33.0,Jay Z,Holy Grail,29.0,3.0,-4.0
231,232.0,34.0,2014-01-18,34.0,Florida Georgia Line,Stay,31.0,3.0,-3.0
232,233.0,35.0,2014-01-18,35.0,AWOLNATION,Sail,35.0,3.0,0.0
233,234.0,36.0,2014-01-18,36.0,Luke Bryan,Drink A Beer,37.0,3.0,1.0
234,235.0,37.0,2014-01-18,37.0,DJ Snake,Turn Down For What,38.0,3.0,1.0
235,236.0,38.0,2014-01-18,38.0,Demi Lovato,Let It Go,43.0,3.0,5.0
236,237.0,39.0,2014-01-18,39.0,Sage The Gemini,Gas Pedal,30.0,3.0,-9.0
237,238.0,40.0,2014-01-18,40.0,American Authors,Best Day Of My Life,52.0,3.0,12.0
238,239.0,41.0,2014-01-18,41.0,Chris Brown,Love More,44.0,3.0,3.0
239,240.0,42.0,2014-01-18,42.0,Zendaya,Replay,40.0,3.0,-2.0
240,241.0,43.0,2014-01-18,43.0,David Nail,Whatever She&#039;s Got,46.0,3.0,3.0
241,242.0,44.0,2014-01-18,44.0,Drake,All Me,41.0,3.0,-3.0
